"CostTitle","Date","Odo","CostTypeID","Notes","Cost","flag","idR","read","RemindOdo","RemindDate","isTemplate","RepeatOdo","RepeatMonths","isIncome","UniqueId"
"Rabbocco olio motore 1 kg 5W40","2025-08-20 15:57","309810","2","","0.0","0","0","1","0","2011-01-01","0","0","0","0","131"
"Cambio gomme estive","2025-06-24 10:43","307659","1","","350.0","0","0","1","0","2011-01-01","0","0","0","0","128"
"Riparazione sistema raffreddamento r coperchio punterie rabbocco olio 1,5 lt presso officina Cardoni","2025-04-10 18:05","300800","1","","328.22","0","0","1","0","2011-01-01","0","0","0","0","125"
"Rabbocco 1kg olio motore 5W40","2024-12-29 12:09","293162","2","","16.0","0","0","1","0","2011-01-01","0","0","0","0","120"
"Cambio gomme invernali presso Lineauto di Francesco Bei","2024-12-20 16:00","292600","1","Gomme estive smaltite, foratura gomma anteriore sinistra. Gomme invernali del 2021","30.0","0","0","1","0","2011-01-01","0","0","0","0","119"
"Tagliando 284000 presso Dino Bianchini","2024-10-01 08:27","284624","2","Filtro olio, 3lt olio 5w40, candele, filtro aria","120.0","0","0","1","0","2011-01-01","0","0","0","0","115"
"Cambio lampadine presso Elettrauto Filippetti","2024-10-01 23:49","284500","2","Luci diurne (entrambe), anabbagliante destro, portalampada fendinebbia posteriore deossidato","20.0","0","0","1","0","2011-01-01","0","0","0","0","116"
"Rabbocco olio motore 1 kg","2024-05-22 07:54","273967","2","Rabbocco 5w40 presso Metano terradura","19.5","0","0","1","0","2011-01-01","0","0","0","0","109"
"Revisione","2024-01-03 11:30","264200","1","presso officina Cardoni","79.0","0","0","1","0","2011-01-01","0","0","0","0","102"
"Rabbocco olio motore 1.5 Kg","2024-01-03 11:33","264200","2","presso Officina Cardoni ","10.0","0","0","1","0","2011-01-01","0","0","0","0","103"
"Sostituzione Cambio e Frizione presso Dino Bianchini","2023-09-09 11:34","255330","2","Cambio preso da Noè Agricola autodemolizioni da punto incidentata circa 150000 km costo 200€
Frizione Valeo 135€
Olio cambio 2kg 25€
Manodopera 1gg lavoro 100€
","460.0","0","0","1","0","2011-01-01","0","0","0","0","96"
"Manutenzione straordinaria presso Officina Cardoni","2023-07-04 13:46","252924","2","Distribuzione, cinghia servizi, tenditore servizi, filtro abitacolo, rabbocco olio, aria condizionata","621.0","0","0","1","0","2011-01-01","0","0","0","0","93"
"Cambio gomme estive presso Lineauto di Francesco Bei","2023-05-24 16:53","250083","1","","25.0","0","0","1","0","2011-01-01","0","0","0","0","90"
"Rabbocco olio motore presso Bianchini Dino","2023-02-18 14:50","243950","2","1 kg olio motore","13.0","0","0","1","0","2011-01-01","0","0","0","0","86"
"Tagliando 230000 km presso Dino Bianchini","2022-08-31 18:34","231522","2","","90.0","0","0","1","0","2011-01-01","0","0","0","0","80"
"Cambio gomme estive","2022-05-26 10:37","223470","1","Presso Lineauto di Francesco Bei","330.0","0","0","1","0","2011-01-01","0","0","0","0","75"
"Sostituzione paraurti anteriore e lavori carrozzeria vari","2022-02-09 08:59","0","1","Presso Officina Elvio Fiorucci","380.0","0","0","1","0","2011-01-01","0","0","0","0","70"
"lavoro freni presso Officina Cardoni","2022-02-03 14:27","215300","1","revisione freni posteriori
sostituzione pastiglie
rettifica dischi
sostituzione cordine freno a mano","263.87","0","0","1","0","2011-01-01","0","0","0","0","72"
"Revisione bombole metano","2022-01-25 16:57","214940","2","presso officina Agostinelli","100.0","0","0","1","0","2011-01-01","0","0","0","0","68"
"Revisione","2022-01-12 09:00","214170","1","presso Officina Cardoni","78.75","0","0","0","0","2011-01-01","0","0","0","0","42"
"Tagliando 210000 km presso Dino Bianchini","2021-12-27 12:47","213500","2","Cambio olio,
cambio filtro olio,
cambio candele","110.0","0","0","1","0","2011-01-01","0","0","0","0","41"
"Cambio gomme invernali","2021-11-23 16:00","211000","1","Cambio gomme invernali Sailun presso Lineauto di Francesco Bei","300.0","0","0","1","0","2011-01-01","0","0","0","0","35"
"Tergicristalli e luci varie","2021-11-23 16:30","211000","2","- Sostituzione tutte spazzole anteriori e posteriore modello bosch
- acquisto lampadine ant H4 e antinebbia post
- acquisto liquido vaschetta lavavetro","55.0","0","0","1","0","2011-01-01","0","0","0","0","36"
"Freni ant, sosp ant dx, batteria, aria cond","2021-07-27 10:29","0","2","","648.0","0","0","0","0","2011-01-01","0","0","0","0","34"
"Rabbocco Olio 1.5lt e controllo liquidi","2020-12-30 09:36","192196","1","","0.0","0","0","1","0","2011-01-01","0","0","0","0","13"
