"NameBrand","Latitude","Longitude","StationID","Description","CountryCode"
"Metano Terradura","43.36295","12.54616","464075","Semonte","ITA"
"SEP","43.35304","12.56143","361768","SEP","ITA"
"IP","43.12885","12.42243","89914","Balanzano","ITA"
"Metano","43.29195","12.37351","87257","Metano","ITA"
"PERUGIA CENTOVA 2","43.09277","12.35795","492989","Perugia","ITA"
"IS","43.07468","12.42811","398401","Balanzano","ITA"
"IP 24 ORE San Faustino","43.0939","12.36618","692706","IP 24 ORE San Faustino","ITA"
"CATRIA ENERGY GUBBIO","43.35073","12.559","884060","CATRIA ENERGY GUBBIO","ITA"
"Metano Montecorona","43.29171","12.37384","692828","Umbertide","ITA"
"GREEN SERVICE","43.47208","12.24439","692609","Città di Castello","ITA"
"Metano San Pellegrino","43.25689","12.75718","692843","Gualdo Tadino","ITA"
"IP PONTE RIO","43.12886","12.4224","692702","Ponte Rio","ITA"
