"## Vehicle"
"Name","Description","DistUnit","FuelUnit","ConsumptionUnit","ImportCSVDateFormat","VIN","Insurance","Plate","Make","Model","Year","TankCount","Tank1Type","Tank2Type"
"Car","Description","1","1","1","yyyy-MM-dd","","","","","",,"1","100","0"
"## Log"
"Data","Odo (mi)","Fuel (us gallons)","Full","Price (optional)","mpg (optional)","latitude (optional)","longitude (optional)","City (optional)","Notes (optional)","Missed","TankNumber","FuelType","VolumePrice","StationID (optional)"
"2016-05-01","118902","11.36","1","23.5",,,,,"","0","1","0","2.069",
"2016-07-15","114231","11.88","1","28.5",,,,,"","0","1","0","2.399",
"2016-07-07","113932","11.58","1","26.5",,,,,"","0","1","0","2.289",
"2016-06-30","113630","12.35","1","30",,,,,"","0","1","0","2.429",
"2016-06-20","113338","11.09","1","28.5",,,,,"","0","1","0","2.569",
"2016-05-28","112794","10.55","1","25",,,,,"","0","1","0","2.369",
"2016-05-17","112533","11.16","1","26",,,,,"","0","1","0","2.329",
"2016-05-07","112205","12.57","1","26",,,,,"","0","1","0","2.069",
"2016-04-04","110609","11.12","1","22.25",,,,,"","0","1","0","2.002",
"2016-03-28","110353","8.87","1","17.02",,,,,"","0","1","0","1.919",
"2016-03-19","110117","8.64","1","17",,,,,"","0","1","0","1.969",
"2016-03-12","109887","10.92","1","21.5",,,,,"","0","1","0","1.969",
"2016-03-07","109548","9.97","1","17.13",,,,,"","0","1","0","1.719",
"2016-02-27","108946","11.76","1","21.98",,,,,"","0","1","0","1.869",
"2016-02-22","108614","10.56","1","19",,,,,"","0","1","0","1.799",
"2016-02-16","108215","12.83","1","20",,,,,"","0","1","0","1.559",
"2016-02-10","107882","10.49","1","14.88",,,,,"","0","1","0","1.419",
"2016-02-05","107593","10.32","1","16.5",,,,,"","0","1","0","1.599",
"2016-02-01","107283","11.19","1","19",,,,,"","0","1","0","1.699",
"2016-01-27","106994","11.86","1","23",,,,,"","0","1","0","1.939",
"2016-01-17","106380","11.12","1","20",,,,,"","0","1","0","1.799",
"2016-01-11","106100","9.19","1","18",,,,,"","0","1","0","1.959",
"2015-12-29","105363","9.1","1","20",,,,,"","0","1","0","2.199",
"2015-12-16","104577","11.71","1","25.75",,,,,"","0","1","0","2.199",
"2015-12-09","104262","10.0","1","21",,,,,"","0","1","0","2.099",
"2015-12-03","103919","10.0","1","21",,,,,"","0","1","0","2.099",
"2015-11-28","103612","11.48","1","21",,,,,"","0","1","0","1.829",
"2015-11-23","103292","10.0","1","20",,,,,"","0","1","0","1.999",
"2015-11-18","103032","11.27","1","24",,,,,"","0","1","0","2.129",
"2015-11-13","102714","12.26","1","25",,,,,"","0","1","0","2.039",
"2015-11-05","102426","12.0","1","30",,,,,"","0","1","0","2.499",
"2015-10-29","102103","11.57","1","27.76",,,,,"","0","1","0","2.399",
"2015-10-23","101780","11.2","1","28",,,,,"","0","1","0","2.499",
"2015-10-16","101473","12.31","1","32",,,,,"","0","1","0","2.599",
"2015-10-10","101174","31.5","1","11.25",,,,,"","0","1","0","0.357",
"2015-10-03","100860","12.51","1","30.01",,,,,"","0","1","0","2.399",
"2015-09-27","100533","11.59","1","28.51",,,,,"","0","1","0","2.459",
"2015-09-21","100228","12.16","1","30.02",,,,,"","0","1","0","2.469",
"2015-09-14","99823","11.61","1","32.5",,,,,"","0","1","0","2.799",
"2015-09-08","99510","12.15","1","34",,,,,"","0","1","0","2.799",
"2015-08-31","99226","12.25","1","35.01",,,,,"","0","1","0","2.859",
"2015-08-24","98900","12.02","1","37.26",,,,,"","0","1","0","3.099",
"2015-08-18","98588","11.68","1","42.02",,,,,"","0","1","0","3.599",
"2015-08-11","98289","10.18","1","28.5",,,,,"","0","1","0","2.799",
"2015-08-03","97929","11.21","1","32.5",,,,,"","0","1","0","2.899",
"2015-07-28","97647","10.72","1","30",,,,,"","0","1","0","2.799",
"2015-07-22","97371","9.67","1","29",,,,,"","0","1","0","2.999",
"2015-07-15","97047","6.94","1","21.51",,,,,"","0","1","0","3.099",
"2015-07-09","96884","10.04","1","28.01",,,,,"","0","1","0","2.789",
"2015-07-05","96620","10.24","1","30.01",,,,,"","0","1","0","2.929",
"2015-06-29","96325","10.88","1","31.01",,,,,"","0","1","0","2.849",
"2015-06-23","96053","11.02","1","32.5",,,,,"","0","1","0","2.949",
"2015-06-17","95757","11.74","1","36.25",,,,,"","0","1","0","3.089",
"2015-06-11","95453","11.57","1","37",,,,,"","0","1","0","3.199",
"2015-05-28","94865","12.1","1","37.5",,,,,"","0","1","0","3.099",
"2015-05-18","94563","11.38","1","33",,,,,"","0","1","0","2.899",
"## CostCategories"
"CostTypeID","Name","priority","color"
"1","Service","0","#795548"
"2","Maintenance","0","#B71C1C"
"4","Registration","0","#673AB7"
"5","Parking","0","#9E9E9E"
"6","Wash","0","#0D47A1"
"7","Tolls","0","#FFC107"
"8","Tickets/Fines﻿","0","#3F51B5"
"9","Tuning","0","#795548"
"31","Insurance","0","#E91E63"
"32","Purchase","0","#000000"
"33","Accessories  ","0","#424242"
"## Costs"
"CostTitle","Date","Odo","CostTypeID","Notes","Cost","flag","idR","read","RemindOdo","RemindDate","isTemplate","RepeatOdo","RepeatMonths"
"sample title","2017-04-04","0","1","","100","0","0","1","0","2011-01-01","0","0","0"

