"## Vehicle"
"Name","Description","DistUnit","FuelUnit","ConsumptionUnit","ImportCSVDateFormat","VIN","Insurance","Plate","Make","Model","Year","TankCount","Tank1Type","Tank2Type","Active","Tank1Capacity","Tank2Capacity","FuelUnitTank2","FuelConsumptionTank2"
"Punto Evo","La Punto di Federico","0","4","3","yyyy-MM-dd","","","DZ595XP","FIAT","Punto Evo","2010","2","500","100","1","16.0","0.0","0","3"
"## Log"
"Data","Odo (km)","kg","Full","Price (optional)","km/l (optional)","latitude (optional)","longitude (optional)","City (optional)","Notes (optional)","Missed","TankNumber","FuelType","VolumePrice","StationID (optional)","ExcludeDistance","UniqueId","TankCalc","Weather"
"2024-12-23 17:15","292739.0","14.582","1","20.4","22.22","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.399","464075","5.0","342","0.0",
"2024-12-18 18:37","292410.0","14.761","1","20.65","23.17","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.399","464075","0.0","341","0.0",
"2024-12-15 04:00","292068.0","15.231","1","20.41","24.16","43.09277","12.35795","PERUGIA CENTOVA 2 - Perugia","","0","1","501","1.34","492989","40.0","340","0.0",
"2024-12-11 19:15","291660.0","16.199","1","21.69","23.64","43.09277","12.35795","PERUGIA CENTOVA 2 - Perugia","","0","1","501","1.339","492989","10.0","338","0.0",
"2024-12-08 00:05","291267.0","15.639","1","20.94","23.02","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.339","398401","40.0","339","0.0",
"2024-12-03 09:02","290867.0","15.568","1","21.78","21.2","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.399","464075","30.0","337","0.0",
"2024-12-03 00:19","290856.0","17.56","1","30.01","192.53","43.35304","12.56143","SEP - SEP","","0","2","110","1.709","361768","0.0","336","0.0",
"2024-11-28 23:03","290507.0","11.581","1","14.58","26.77","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.259","398401","0.0","335","0.0",
"2024-11-25 14:46","290197.0","15.703","1","19.77","23.56","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.259","398401","10.0","334","0.0",
"2024-11-21 14:47","289817.0","14.641","1","18.14","23.7","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.239","398401","0.0","333","0.0",
"2024-11-19 08:52","289470.0","13.343","1","18.0","23.53","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.349","464075","0.0","332","0.0",
"2024-11-14 19:51","289156.0","14.083","1","16.04","22.44","43.09277","12.35795","PERUGIA CENTOVA 2 - Perugia","","0","1","501","1.139","492989","0.0","331","0.0",
"2024-11-11 14:51","288840.0","14.56","1","18.04","22.73","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.239","398401","0.0","330","0.0",
"2024-11-08 18:36","288509.0","13.118","1","17.04","23.56","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.299","464075","0.0","329","0.0",
"2024-11-05 18:52","288200.0","14.278","1","17.69","23.32","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.239","398401","0.0","328","0.0",
"2024-11-02 18:49","287867.0","13.202","1","17.15","24.92","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.299","464075","0.0","327","0.0",
"2024-10-30 14:49","287538.0","13.793","1","17.09","23.64","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.239","398401","0.0","326","0.0",
"2024-10-26 18:28","287212.0","14.611","1","18.98","24.09","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.299","464075","65.0","325","0.0",
"2024-10-22 08:52","286795.0","11.978","1","15.56","27.3","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.299","464075","0.0","324","0.0",
"2024-10-18 07:48","286468.0","12.51","1","16.25","25.58","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.299","464075","0.0","323","0.0",
"2024-10-16 18:20","286148.0","11.603","1","14.84","28.27","43.09277","12.35795","PERUGIA CENTOVA 2 - Perugia","","0","1","501","1.279","492989","0.0","322","0.0",
"2024-10-14 08:19","285820.0","13.341","1","17.33","24.89","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.299","464075","0.0","321","0.0",
"2024-10-10 19:25","285488.0","13.135","1","16.8","50.48","43.12885","12.42243","IP - IP","","0","1","501","1.279","89914","0.0","320","0.0",
"2024-10-02 13:24","284825.0","11.697","1","14.96","27.7","0.0","0.0",,"","0","1","501","1.279","0","0.0","319","0.0",
"2024-09-28 08:48","284501.0","14.543","1","18.31","24.41","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.259","398401","0.0","318","0.0",
"2024-09-25 14:22","284146.0","14.782","1","18.61","25.3","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.259","398401","0.0","317","0.0",
"2024-09-22 01:46","283772.0","13.253","1","16.95","23.92","43.12885","12.42243","IP - IP","","0","1","501","1.279","89914","0.0","316","0.0",
"2024-09-17 19:03","283455.0","12.486","1","15.97","25.79","43.09277","12.35795","PERUGIA CENTOVA 2 - Perugia","","0","1","501","1.279","492989","0.0","315","0.0",
"2024-09-13 13:48","283133.0","13.041","1","16.68","26.61","43.09277","12.35795","PERUGIA CENTOVA 2 - Perugia","","0","1","501","1.279","492989","10.0","314","0.0",
"2024-09-10 09:12","282776.0","13.019","1","16.13","24.73","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.239","398401","0.0","313","0.0",
"2024-09-06 14:37","282454.0","12.781","1","15.58","26.99","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.219","398401","60.0","312","0.0",
"2024-09-02 09:18","282049.0","12.258","1","15.31","29.37","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.249","464075","80.0","311","0.0",
"2024-08-31 21:00","282003.0","17.469","0","30.03","0.0","43.35304","12.56143","SEP - SEP","","0","2","110","1.719","361768","0.0","310","0.0",
"2024-08-28 08:20","281609.0","11.833","1","14.78","26.87","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.249","464075","0.0","309","0.0",
"2024-08-23 03:00","281291.0","12.712","1","15.75","25.64","43.07527","12.42946","IP BALANZANO 24 ORE - ","","0","1","501","1.239","692704","0.0","308","0.0",
"2024-08-21 08:43","280965.0","12.506","1","15.62","26.87","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.249","464075","30.0","307","0.0",
"2024-08-18 17:48","280599.0","12.394","1","15.48","23.96","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.249","464075","300.0","306","0.0",
"2024-08-10 22:26","280455.0","17.055","0","30.0","0.0","43.12885","12.42243","IP - IP","","0","2","110","1.759","89914","0.0","305","0.0",
"2024-07-29 12:33","280002.0","8.632","1","10.35","26.99","43.12886","12.4224","IP PONTE RIO - ","","0","1","501","1.199","692702","0.0","304","0.0",
"2024-07-25 17:24","279769.0","11.161","1","13.36","29.57","43.09277","12.35795","PERUGIA CENTOVA 2 - Perugia","","0","1","501","1.197","492989","0.0","303","0.0",
"2024-07-22 08:58","279439.0","13.227","1","16.52","23.74","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.249","464075","0.0","302","0.0",
"2024-07-16 08:32","279125.0","12.93","1","16.15","27.07","43.35073","12.559","CATRIA ENERGY GUBBIO - ","","0","1","501","1.249","884060","115.0","301","0.0",
"2024-07-11 18:12","278660.0","11.635","1","13.95","24.15","43.0939","12.36618","IP 24 ORE San Faustino - IP 24 ORE San Faustino","","0","1","501","1.199","692706","0.0","300","0.0",
"2024-07-08 19:09","278379.0","12.813","1","14.85","26.22","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.159","398401","0.0","299","0.0",
"2024-07-03 18:04","278043.0","12.552","1","15.05","23.9","43.0939","12.36618","IP 24 ORE San Faustino - IP 24 ORE San Faustino","","0","1","501","1.199","692706","0.0","298","0.0",
"2024-06-27 14:24","277743.0","13.307","1","14.97","58.16","43.07468","12.42811","Stazione di Servizio IS - Ponte S. Giovanni - Stazione di Servizio IS - Ponte S. Giovanni","","0","1","501","1.125","398401","0.0","297","0.0",
"2024-06-25 08:02","277496.0","19.572","0","35.21","0.0","43.35304","12.56143","SEP - SEP","","0","2","110","1.799","361768","0.0","296","0.0",
"2024-06-20 14:21","276969.0","13.476","1","15.43","26.79","0.0","0.0",,"","0","1","501","1.145","0","0.0","295","0.0",
"2024-06-17 07:59","276608.0","14.621","1","17.53","24.96","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.199","464075","300.0","294","0.0",
"2024-06-14 20:49","276369.0","16.92","0","30.27","0.0","43.12111","12.51247","Perugia - IS PIT STOP","","0","2","110","1.789","692484","0.0","293","0.0",
"2024-06-10 12:20","275943.0","12.227","1","14.55","28.22","43.0939","12.36618","IP 24 ORE - ","","0","1","501","1.19","692706","0.0","292","0.0",
"2024-06-06 08:07","275598.0","15.201","1","17.77","25.72","43.36295","12.54616","Metano Service - Metano Service","","0","1","501","1.169","464075","50.0","291","0.0",
